user_id,date_transaction,revenue,product_category
user_454,2024-04-17,51.91,Toys
user_254,2024-03-25,80.96,Books
user_500,2024-05-05,7.31,Home
user_633,2024-04-07,443.25,Clothing
user_531,2024-05-17,497.89,Electronics
user_517,2024-04-13,81.64,Home
user_65,2024-04-11,161.87,Electronics
user_130,2024-04-15,54.6,Home
user_316,2024-04-19,127.16,Electronics
user_467,2024-05-07,44.42,Books
user_531,2024-05-25,388.39,Clothing
user_350,2024-03-07,111.69,Electronics
user_446,2024-03-14,140.46,Electronics
user_157,2024-04-12,333.07,Electronics
user_683,2024-04-17,144.74,Electronics
user_589,2024-05-26,279.98,Clothing
user_83,2024-03-23,66.62,Books
user_635,2024-03-01,455.79,Clothing
user_647,2024-04-01,417.91,Electronics
user_11,2024-04-13,86.65,Home
user_476,2024-04-08,63.1,Home
user_675,2024-04-09,498.87,Clothing
user_12,2024-04-11,484.66,Electronics
user_526,2024-05-01,276.84,Electronics
user_79,2024-05-17,379.38,Clothing
user_631,2024-05-30,22.24,Toys
user_90,2024-03-02,151.97,Electronics
user_265,2024-03-12,317.68,Electronics
user_620,2024-03-03,217.5,Electronics
user_271,2024-05-08,165.25,Clothing
user_239,2024-04-15,217.37,Clothing
user_419,2024-03-15,42.94,Books
user_539,2024-05-01,30.96,Home
user_440,2024-03-27,459.45,Electronics
user_681,2024-05-05,21.26,Books
user_338,2024-05-01,170.49,Electronics
user_451,2024-05-13,492.6,Electronics
user_624,2024-03-29,128.99,Electronics
user_623,2024-04-17,25.7,Books
user_682,2024-04-01,448.92,Clothing
user_255,2024-04-15,45.51,Books
user_155,2024-03-07,329.75,Clothing
user_675,2024-04-19,246.93,Clothing
user_692,2024-03-03,37.01,Toys
user_337,2024-03-25,175.77,Clothing
user_551,2024-05-04,491.43,Electronics
user_433,2024-04-01,449.73,Clothing
user_694,2024-04-27,240.04,Clothing
user_700,2024-05-09,401.65,Electronics
user_489,2024-03-25,391.47,Clothing
user_337,2024-05-07,175.44,Electronics
user_496,2024-05-02,91.3,Home
user_503,2024-03-20,196.76,Electronics
user_87,2024-04-28,188.45,Electronics
user_124,2024-03-19,458.69,Clothing
user_316,2024-04-28,115.21,Clothing
user_282,2024-04-15,462.36,Clothing
user_41,2024-05-05,341.45,Clothing
user_421,2024-04-26,308.91,Clothing
user_171,2024-03-20,464.3,Clothing
user_360,2024-03-28,58.03,Toys
user_437,2024-05-30,392.3,Electronics
user_51,2024-04-17,396.9,Clothing
user_144,2024-04-23,243.16,Electronics
user_440,2024-03-05,424.99,Clothing
user_233,2024-04-08,363.1,Electronics
user_169,2024-03-30,251.58,Clothing
user_624,2024-03-18,322.89,Clothing
user_421,2024-04-15,495.76,Electronics
user_198,2024-04-25,77.25,Books
user_340,2024-04-06,462.11,Clothing
